2025-02-03 12:36:37.782 [info] Extension host with pid 2712306 started
2025-02-03 12:36:37.786 [info] Lock '/home/iujeong/.vscode-server/data/User/workspaceStorage/d93eea3a3c3f435b3cabd9cc82da6704/vscode.lock': Lock acquired.
2025-02-03 12:36:37.982 [info] ExtensionService#_doActivateExtension vscode.ipynb, startup: false, activationEvent: 'onNotebookSerializer:jupyter-notebook'
2025-02-03 12:36:37.983 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2025-02-03 12:36:37.983 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: false, activationEvent: '*', root cause: vscode.git
2025-02-03 12:36:37.983 [info] ExtensionService#_doActivateExtension vscode.tunnel-forwarding, startup: false, activationEvent: 'onTunnel'
2025-02-03 12:36:38.224 [info] ExtensionService#_doActivateExtension vscode.git, startup: false, activationEvent: '*'
2025-02-03 12:36:38.224 [info] ExtensionService#_doActivateExtension vscode.github, startup: false, activationEvent: '*'
2025-02-03 12:36:38.366 [info] Eager extensions activated
2025-02-03 12:36:38.366 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2025-02-03 12:36:38.366 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2025-02-03 12:36:38.366 [info] ExtensionService#_doActivateExtension ms-dotnettools.vscode-dotnet-runtime, startup: false, activationEvent: 'onStartupFinished'
2025-02-03 12:37:26.526 [info] ExtensionService#_doActivateExtension vscode.npm, startup: false, activationEvent: 'onTerminalQuickFixRequest:ms-vscode.npm-command'
2025-02-03 12:38:00.937 [info] ExtensionService#_doActivateExtension ms-python.python, startup: false, activationEvent: 'onLanguage:python', root cause: ms-python.debugpy
2025-02-03 12:38:01.014 [warning] Using default string since no string found in i18n bundle that has the key: Source map support is enabled in the Python Extension, this will adversely impact performance of the extension.
2025-02-03 12:38:01.014 [warning] Using default string since no string found in i18n bundle that has the key: Disable Source Map Support
2025-02-03 12:38:01.014 [warning] Using default string since no string found in i18n bundle that has the key: Enabling source map support in the Python Extension will adversely impact performance of the extension.
2025-02-03 12:38:01.014 [warning] Using default string since no string found in i18n bundle that has the key: Enable and reload Window.
2025-02-03 12:38:01.014 [warning] Using default string since no string found in i18n bundle that has the key: ▶ Launch TensorBoard Session
2025-02-03 12:38:01.014 [warning] Using default string since no string found in i18n bundle that has the key: Launch TensorBoard session
2025-02-03 12:38:01.139 [info] ExtensionService#_doActivateExtension ms-python.debugpy, startup: false, activationEvent: 'onLanguage:python'
2025-02-03 12:38:01.139 [info] ExtensionService#_doActivateExtension ms-python.vscode-pylance, startup: false, activationEvent: 'onLanguage:python'
2025-02-03 12:39:09.945 [info] ExtensionService#_doActivateExtension vscode.extension-editing, startup: false, activationEvent: 'onLanguage:markdown'
2025-02-03 12:39:09.945 [info] ExtensionService#_doActivateExtension vscode.markdown-language-features, startup: false, activationEvent: 'onLanguage:markdown'
2025-02-03 12:39:10.188 [info] ExtensionService#_doActivateExtension vscode.markdown-math, startup: false, activationEvent: 'api', root cause: vscode.markdown-language-features
2025-02-03 14:49:04.506 [info] Lock '/home/iujeong/.vscode-server/data/User/workspaceStorage/d93eea3a3c3f435b3cabd9cc82da6704/vscode.lock': The lock was lost unexpectedly.
2025-02-03 14:51:40.088 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:51:45.121 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:51:50.154 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:51:55.193 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:52:00.228 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:52:05.262 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:52:10.302 [warning] [Decorations] CAPPING events from decorations provider vscode.git 534
2025-02-03 14:52:15.343 [warning] [Decorations] CAPPING events from decorations provider vscode.git 534
2025-02-03 14:52:20.034 [warning] [Decorations] CAPPING events from decorations provider vscode.git 534
2025-02-03 14:52:20.378 [warning] [Decorations] CAPPING events from decorations provider vscode.git 534
2025-02-03 14:52:25.418 [warning] [Decorations] CAPPING events from decorations provider vscode.git 534
2025-02-03 14:52:30.457 [warning] [Decorations] CAPPING events from decorations provider vscode.git 534
2025-02-03 14:52:35.494 [warning] [Decorations] CAPPING events from decorations provider vscode.git 534
2025-02-03 14:52:38.059 [warning] [Decorations] CAPPING events from decorations provider vscode.git 534
2025-02-03 14:52:40.526 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:52:45.567 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:52:50.610 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:52:51.544 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:52:55.654 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:53:00.688 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:53:05.721 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:53:10.752 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:53:15.794 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:53:20.826 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:53:21.287 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:53:25.870 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:53:30.901 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:53:35.937 [warning] [Decorations] CAPPING events from decorations provider vscode.git 534
2025-02-03 14:53:40.973 [warning] [Decorations] CAPPING events from decorations provider vscode.git 534
2025-02-03 14:53:46.014 [warning] [Decorations] CAPPING events from decorations provider vscode.git 534
2025-02-03 14:53:51.060 [warning] [Decorations] CAPPING events from decorations provider vscode.git 534
2025-02-03 14:53:56.098 [warning] [Decorations] CAPPING events from decorations provider vscode.git 534
2025-02-03 14:54:01.132 [warning] [Decorations] CAPPING events from decorations provider vscode.git 534
2025-02-03 14:54:06.175 [warning] [Decorations] CAPPING events from decorations provider vscode.git 534
2025-02-03 14:54:11.214 [warning] [Decorations] CAPPING events from decorations provider vscode.git 535
2025-02-03 14:54:16.250 [warning] [Decorations] CAPPING events from decorations provider vscode.git 535
2025-02-03 14:54:21.279 [warning] [Decorations] CAPPING events from decorations provider vscode.git 535
2025-02-03 14:54:26.315 [warning] [Decorations] CAPPING events from decorations provider vscode.git 535
2025-02-03 14:54:31.354 [warning] [Decorations] CAPPING events from decorations provider vscode.git 535
2025-02-03 14:54:36.383 [warning] [Decorations] CAPPING events from decorations provider vscode.git 535
2025-02-03 14:54:39.467 [warning] [Decorations] CAPPING events from decorations provider vscode.git 535
2025-02-03 14:54:41.422 [warning] [Decorations] CAPPING events from decorations provider vscode.git 535
2025-02-03 14:54:46.461 [warning] [Decorations] CAPPING events from decorations provider vscode.git 535
2025-02-03 14:54:51.496 [warning] [Decorations] CAPPING events from decorations provider vscode.git 535
2025-02-03 14:54:56.534 [warning] [Decorations] CAPPING events from decorations provider vscode.git 535
2025-02-03 14:55:01.561 [warning] [Decorations] CAPPING events from decorations provider vscode.git 535
2025-02-03 14:55:06.598 [warning] [Decorations] CAPPING events from decorations provider vscode.git 535
2025-02-03 14:55:11.636 [warning] [Decorations] CAPPING events from decorations provider vscode.git 536
2025-02-03 14:55:16.674 [warning] [Decorations] CAPPING events from decorations provider vscode.git 535
2025-02-03 14:56:00.781 [warning] [Decorations] CAPPING events from decorations provider vscode.git 535
2025-02-03 14:56:05.817 [warning] [Decorations] CAPPING events from decorations provider vscode.git 535
2025-02-03 14:56:10.285 [warning] [Decorations] CAPPING events from decorations provider vscode.git 535
2025-02-03 14:56:10.857 [warning] [Decorations] CAPPING events from decorations provider vscode.git 535
2025-02-03 14:56:15.890 [warning] [Decorations] CAPPING events from decorations provider vscode.git 535
2025-02-03 14:56:18.685 [warning] [Decorations] CAPPING events from decorations provider vscode.git 535
2025-02-03 14:56:20.929 [warning] [Decorations] CAPPING events from decorations provider vscode.git 535
